name,app_name,rating,comment,comment_timestamp
Julia,com.shop.shoplist,3.0,Crashes frequently.,2024-02-22 17:10:18.400982
Fiona,com.game.gamehub,4.0,Fantastic features.,2024-10-12 17:10:18.401010
Julia,com.news.newsflash,3.3,Love the interface!,2024-09-20 17:10:18.401021
Diana,com.study.studysmart,,"Great app, very useful!",2023-11-18 17:10:18.401031
Diana,com.mind.mindcalm,,Needs improvement.,2024-01-25 17:10:18.401058
Julia,com.photo.photomaster,,Crashes frequently.,2024-02-29 17:10:18.401066
Alice,com.fit.fitbuddy,,Would recommend to others.,2024-01-09 17:10:18.401072
George,com.mind.mindcalm,1.8,Would recommend to others.,2024-05-28 17:10:18.401082
Bob,com.game.gamehub,,Took a while to understand.,2023-12-21 17:10:18.401092
Charlie,com.news.newsflash,4.6,Took a while to understand.,2024-08-23 17:10:18.401099
Ethan,com.mind.mindcalm,3.0,Love the interface!,2024-02-16 17:10:18.401108
Julia,com.fit.fitbuddy,4.6,Love the interface!,2024-09-25 17:10:18.401117
George,com.fit.fitbuddy,1.3,Crashes frequently.,2024-06-20 17:10:18.401127
Fiona,com.food.foodscanner,1.3,Took a while to understand.,2023-11-20 17:10:18.401135
Hannah,com.weather.weatherpro,1.0,Not worth the price.,2024-10-17 17:10:18.401140
Alice,com.fit.fitbuddy,3.3,"Great app, very useful!",2024-07-11 17:10:18.401147
Diana,com.mind.mindcalm,3.5,Needs improvement.,2024-06-03 17:10:18.401152
Bob,com.game.gamehub,,,
Hannah,com.sleep.sleeptrack,,Needs improvement.,2024-07-25 17:10:18.401158
George,com.news.newsflash,4.0,Not worth the price.,2024-07-04 17:10:18.401164
Alice,com.mind.mindcalm,,Would recommend to others.,2024-03-03 17:10:18.401168
Charlie,com.sleep.sleeptrack,4.7,Would recommend to others.,2024-05-02 17:10:18.401173
Julia,com.sleep.sleeptrack,1.2,Needs improvement.,2024-09-29 17:10:18.401180
Charlie,com.shop.shoplist,,Love the interface!,2024-03-19 17:10:18.401187
George,com.news.newsflash,4.3,,
Ethan,com.food.foodscanner,,Not worth the price.,2023-12-14 17:10:18.401199
Bob,com.weather.weatherpro,3.2,Took a while to understand.,2024-03-02 17:10:18.401208
Julia,com.mind.mindcalm,,Fantastic features.,2024-08-29 17:10:18.401216
Julia,com.news.newsflash,,,
Diana,com.study.studysmart,4.1,Would recommend to others.,2024-01-06 17:10:18.401230
Julia,com.food.foodscanner,,Took a while to understand.,2024-05-08 17:10:18.401238
Ian,com.game.gamehub,1.9,Needs improvement.,2024-04-03 17:10:18.401248
Charlie,com.fit.fitbuddy,,Needs improvement.,2024-01-30 17:10:18.401255
Alice,com.photo.photomaster,3.5,Took a while to understand.,2023-12-02 17:10:18.401264
Bob,com.news.newsflash,,Would recommend to others.,2024-02-21 17:10:18.401271
Hannah,com.fit.fitbuddy,,Very satisfied!,2024-07-17 17:10:18.401290
Ethan,com.mind.mindcalm,4.5,,
Ethan,com.game.gamehub,,Not worth the price.,2024-04-22 17:10:18.401298
Julia,com.food.foodscanner,1.3,Needs improvement.,2023-11-27 17:10:18.401303
Bob,com.mind.mindcalm,1.1,Fantastic features.,2024-01-23 17:10:18.401308
Ethan,com.sleep.sleeptrack,,Love the interface!,2024-02-12 17:10:18.401312
Hannah,com.weather.weatherpro,,Love the interface!,2023-12-12 17:10:18.401317
Hannah,com.shop.shoplist,3.1,Love the interface!,2024-04-18 17:10:18.401322
Ethan,com.sleep.sleeptrack,2.4,Easy to use and intuitive.,2024-01-30 17:10:18.401327
George,com.news.newsflash,,,
Charlie,com.sleep.sleeptrack,2.8,Needs improvement.,2023-11-22 17:10:18.401334
Diana,com.game.gamehub,,Took a while to understand.,2024-10-06 17:10:18.401339
Ian,com.game.gamehub,2.2,"Great app, very useful!",2024-08-31 17:10:18.401344
Diana,com.weather.weatherpro,,Not worth the price.,2024-10-13 17:10:18.401348
Hannah,com.photo.photomaster,4.0,"Great app, very useful!",2024-07-07 17:10:18.401354
Alice,com.sleep.sleeptrack,,Took a while to understand.,2024-09-26 17:10:18.401358
Ethan,com.food.foodscanner,,,
Hannah,com.sleep.sleeptrack,1.9,Easy to use and intuitive.,2024-10-21 17:10:18.401365
Hannah,com.food.foodscanner,,,
Julia,com.study.studysmart,,"Great app, very useful!",2024-02-22 17:10:18.401371
Diana,com.photo.photomaster,3.6,Love the interface!,2024-08-07 17:10:18.401377
Bob,com.study.studysmart,,Crashes frequently.,2024-04-27 17:10:18.401381
Bob,com.photo.photomaster,,Very satisfied!,2023-12-07 17:10:18.401385
Alice,com.fit.fitbuddy,,Needs improvement.,2024-02-24 17:10:18.401390
George,com.mind.mindcalm,4.9,Took a while to understand.,2024-07-29 17:10:18.401395
Alice,com.photo.photomaster,,Easy to use and intuitive.,2024-03-23 17:10:18.401407
Diana,com.study.studysmart,,Fantastic features.,2023-12-14 17:10:18.401412
Ian,com.news.newsflash,,"Great app, very useful!",2024-01-10 17:10:18.401416
Hannah,com.fit.fitbuddy,1.6,Needs improvement.,2024-10-31 17:10:18.401421
Diana,com.weather.weatherpro,,Needs improvement.,2024-06-16 17:10:18.401426
Fiona,com.photo.photomaster,,Fantastic features.,2024-02-15 17:10:18.401430
Bob,com.mind.mindcalm,4.7,Crashes frequently.,2024-06-17 17:10:18.401436
Fiona,com.weather.weatherpro,3.8,Very satisfied!,2024-08-23 17:10:18.401441
George,com.food.foodscanner,3.3,Would recommend to others.,2024-03-09 17:10:18.401446
Diana,com.sleep.sleeptrack,,Very satisfied!,2024-04-26 17:10:18.401451
Hannah,com.sleep.sleeptrack,,Took a while to understand.,2024-10-23 17:10:18.401455
Alice,com.game.gamehub,3.0,Easy to use and intuitive.,2024-04-27 17:10:18.401461
Bob,com.fit.fitbuddy,,"Great app, very useful!",2024-08-26 17:10:18.401465
George,com.mind.mindcalm,,,
Hannah,com.weather.weatherpro,,Fantastic features.,2024-09-20 17:10:18.401471
Ethan,com.weather.weatherpro,,Would recommend to others.,2024-08-22 17:10:18.401476
Ethan,com.food.foodscanner,,Crashes frequently.,2024-08-19 17:10:18.401480
Julia,com.shop.shoplist,,Not worth the price.,2024-05-29 17:10:18.401484
Alice,com.game.gamehub,,Needs improvement.,2024-01-03 17:10:18.401489
Fiona,com.study.studysmart,3.6,Needs improvement.,2024-05-18 17:10:18.401494
Diana,com.weather.weatherpro,2.4,,
Julia,com.game.gamehub,1.3,Easy to use and intuitive.,2024-04-03 17:10:18.401502
Bob,com.shop.shoplist,,Crashes frequently.,2024-10-30 17:10:18.401506
Ian,com.food.foodscanner,,Fantastic features.,2024-05-08 17:10:18.401510
Bob,com.shop.shoplist,4.2,Would recommend to others.,2024-09-08 17:10:18.401515
Diana,com.game.gamehub,4.2,Love the interface!,2024-04-03 17:10:18.401521
George,com.study.studysmart,3.6,Not worth the price.,2024-03-26 17:10:18.401526
George,com.study.studysmart,3.0,,
Ian,com.photo.photomaster,2.1,,
Bob,com.sleep.sleeptrack,,,
Diana,com.sleep.sleeptrack,,Very satisfied!,2024-08-14 17:10:18.401544
George,com.sleep.sleeptrack,,"Great app, very useful!",2024-10-17 17:10:18.401552
Bob,com.news.newsflash,,Needs improvement.,2024-03-06 17:10:18.401558
Ian,com.mind.mindcalm,4.7,"Great app, very useful!",2024-07-27 17:10:18.401563
Ian,com.shop.shoplist,,Would recommend to others.,2024-08-23 17:10:18.401568
Fiona,com.study.studysmart,,Not worth the price.,2024-08-07 17:10:18.401572
Diana,com.game.gamehub,,Love the interface!,2023-12-15 17:10:18.401576
Diana,com.game.gamehub,,,
Alice,com.photo.photomaster,1.6,,
Fiona,com.weather.weatherpro,,Fantastic features.,2024-08-24 17:10:18.401585
